ANALYSIS REPORT

HISTORY BY TIME FORMAT: 
model_3000,2023-05-16 02:47:48,500.0,500.0/10000
model_3000,2023-05-16 02:47:49,1000.0,1500.0/10000
model_3000,2023-05-16 02:47:49,1500.0,3000.0/10000
model_2000,2023-05-16 02:47:49,500.0,3500.0/10000
model_3000,2023-05-16 02:47:49,2000.0,5500.0/10000
model_1000,2023-05-16 02:47:49,500.0,6000.0/10000
model_2000,2023-05-16 02:47:49,1000.0,7000.0/10000
model_3000,2023-05-16 02:48:47,500.0,7500.0/10000
model_3000,2023-05-16 02:48:47,1000.0,8500.0/10000
model_3000,2023-05-16 02:48:47,1500.0,10000.0/10000
model_2000,2023-05-16 02:48:47,500.0,10500.0/10000
model_3000,2023-05-16 02:48:47,2000.0,12500.0/10000
model_1000,2023-05-16 02:48:47,500.0,13000.0/10000
model_2000,2023-05-16 02:48:47,1000.0,14000.0/10000
model_3000,2023-05-16 02:49:22,500.0,14500.0/10000
model_3000,2023-05-16 02:49:22,1000.0,15500.0/10000
model_3000,2023-05-16 02:49:22,1500.0,17000.0/10000
model_2000,2023-05-16 02:49:22,500.0,17500.0/10000
model_3000,2023-05-16 02:49:22,2000.0,19500.0/10000
model_1000,2023-05-16 02:49:22,500.0,20000.0/10000
model_2000,2023-05-16 02:49:22,1000.0,21000.0/10000
model_3000,2023-05-16 02:58:55,500.0,21500.0/10000
model_3000,2023-05-16 02:58:55,1000.0,22500.0/10000
model_3000,2023-05-16 02:58:55,1500.0,24000.0/10000
model_2000,2023-05-16 02:58:55,500.0,24500.0/10000
model_3000,2023-05-16 02:58:55,2000.0,26500.0/10000
model_1000,2023-05-16 02:58:55,500.0,27000.0/10000
model_2000,2023-05-16 02:58:55,1000.0,28000.0/10000
model_3000,2023-05-16 03:01:20,500.0,28500.0/10000
model_3000,2023-05-16 03:01:20,1000.0,29500.0/10000
model_3000,2023-05-16 03:01:20,1500.0,31000.0/10000
model_2000,2023-05-16 03:01:20,500.0,31500.0/10000
model_3000,2023-05-16 03:01:20,2000.0,33500.0/10000
model_1000,2023-05-16 03:01:20,500.0,34000.0/10000
model_2000,2023-05-16 03:01:20,1000.0,35000.0/10000
model_3000,2023-05-16 03:02:18,500.0,35500.0/10000
model_3000,2023-05-16 03:02:18,1000.0,36500.0/10000
model_3000,2023-05-16 03:02:18,1500.0,38000.0/10000
model_2000,2023-05-16 03:02:18,500.0,38500.0/10000
model_3000,2023-05-16 03:02:18,2000.0,40500.0/10000
model_1000,2023-05-16 03:02:18,500.0,41000.0/10000
model_2000,2023-05-16 03:02:18,1000.0,42000.0/10000
model_3000,2023-05-16 03:03:33,500.0,42500.0/10000
model_3000,2023-05-16 03:03:33,1000.0,43500.0/10000
model_3000,2023-05-16 03:03:33,1500.0,45000.0/10000
model_2000,2023-05-16 03:03:33,500.0,45500.0/10000
model_3000,2023-05-16 03:03:33,2000.0,47500.0/10000
model_1000,2023-05-16 03:03:33,500.0,48000.0/10000
model_2000,2023-05-16 03:03:33,1000.0,49000.0/10000
Time format: yyyy
Mean: 1000.0
Median: 1000.0
Mode: List(500.0)
Range: 1500.0
Mid-range: 1250.0
